ID,table,frequency
AUSGDPRQDSMEI,augdp,quarterly
LFUNTTTTAUM647N,auunemploy,monthly
DRSREACBS,delinquencyrealestatesecured,quarterly
MTSDS133FMS,federalbudget,monthly
CPMNACSCAB1GQFR,frgdp,quarterly
LMUNRLTTFRM647S,frunemploy,monthly
CPMNACSCAB1GQDE,germgdp,quarterly
LMUNRRTTDEM156N,germunemploy,monthly
HOUST,housingstarts,monthly
CPMNACSCAB1GQIT,itgdp,quarterly
LRUN64TTITQ156S,itunemploy,monthly
JPNNGDP,jpgdp,quaterly
JPNASSETS,jptotalassets,monthly
LRUNTTTTJPM156N,jpunemploy,monthly
PERMIT,newbuildingpermits,monthly
LMUNRRTTGBM156N,ukunemploy,monthly
GFDEGDQ188S,usdebtgdp,quarterly
GDP,usgdp,quarterly
CPIAUCSL,usurbancpi,monthly
T30YIEM,30yrbrkevninf,Monthly
CPMNACNSAB1GQUK,ukgdp,quarterly
