ID,table,Last Update,Prev Update,Last Update,Prev Update,
BOE/IUDMNPY,10yrgilt,02/03/2021,02/02/2021,01/27/2021,01/26/2021,FALSE
FRED/DFII10,10yrtips,02/04/2021,02/03/2021,01/28/2021,01/27/2021,FALSE
DGS10,10yrtreasbenchmark,02/04/2021,02/03/2021,01/28/2021,01/27/2021,FALSE
BOE/IUDLNPY,20yrgilt,02/03/2021,02/02/2021,01/27/2021,01/26/2021,FALSE
BOE/IUDSNPY,5yrgilt,02/03/2021,02/02/2021,01/27/2021,01/26/2021,FALSE
ML/AAAEY,aaayieldidx,02/04/2021,02/03/2021,01/28/2021,01/27/2021,FALSE
ML/AAOAS,aaoasidx,02/04/2021,02/03/2021,01/28/2021,01/27/2021,FALSE
AUSGDPRQDSMEI,augdp,07/01/2020,04/01/2020,07/01/2020,04/01/2020,TRUE
LFUNTTTTAUM647N,auunemploy,11/01/2020,10/01/2020,11/01/2020,10/01/2020,TRUE
ML/BBBEY,bbbyieldidx,02/04/2021,02/03/2021,01/28/2021,01/27/2021,FALSE
ML/BOAS,boasidx,02/04/2021,02/03/2021,01/28/2021,01/27/2021,FALSE
BOE/IUDBEDR,boebankrate,02/04/2021,02/03/2021,01/28/2021,01/27/2021,FALSE
BOC/V39055,can10yr,02/04/2021,02/03/2021,01/28/2021,01/27/2021,FALSE
BOC/V39063,can1mo,02/04/2021,02/03/2021,01/28/2021,01/27/2021,FALSE
BOC/V39067,can1yr,02/04/2021,02/03/2021,01/28/2021,01/27/2021,FALSE
BOC/V39051,can2yr,02/04/2021,02/03/2021,01/28/2021,01/27/2021,FALSE
BOC/V39065,can3mo,02/04/2021,02/03/2021,01/28/2021,01/27/2021,FALSE
BOC/V39052,can3yr,02/04/2021,02/03/2021,01/28/2021,01/27/2021,FALSE
BOC/V39053,can5yr,02/04/2021,02/03/2021,01/28/2021,01/27/2021,FALSE
BOC/V39054,can7yr,02/04/2021,02/03/2021,01/28/2021,01/27/2021,FALSE
BOC/V39056,canlongterm,02/04/2021,02/03/2021,01/28/2021,01/27/2021,FALSE
CHRIS/CME_LC1,cattlefut,02/05/2021,02/04/2021,01/29/2021,01/28/2021,FALSE
ML/CCCY,cccyieldidx,02/04/2021,02/03/2021,01/28/2021,01/27/2021,FALSE
CFTC/232741_F_L_ALL,cotaud,02/02/2021,01/26/2021,01/26/2021,01/19/2021,FALSE
CFTC/099741_F_L_ALL,coteur,02/02/2021,01/26/2021,01/26/2021,01/19/2021,FALSE
CFTC/096742_F_L_ALL,cotgpb,02/02/2021,01/26/2021,01/26/2021,01/19/2021,FALSE
CFTC/098662_F_L_ALL,cotusd,02/02/2021,01/26/2021,01/26/2021,01/19/2021,FALSE
CFTC/097741_F_L_ALL,cotyen,02/02/2021,01/26/2021,01/26/2021,01/19/2021,FALSE
DRSREACBS,delinquencyrealestatesecured,07/01/2020,04/01/2020,07/01/2020,04/01/2020,TRUE
DTWEXAFEGS,dollarindexadvanced,01/29/2021,01/28/2021,01/22/2021,01/21/2021,FALSE
DTWEXBGS,dollarindexbroad,01/29/2021,01/28/2021,01/22/2021,01/21/2021,FALSE
ML/EMHGY,eminvestmentidx,02/04/2021,02/03/2021,01/28/2021,01/27/2021,FALSE
ML/EMCBI,emoasidx,02/04/2021,02/03/2021,01/28/2021,01/27/2021,FALSE
ECBASSETSW,eucbassets,01/29/2021,01/22/2021,01/22/2021,01/15/2021,FALSE
SWPT,fedassetscbswaps,02/03/2021,01/27/2021,01/27/2021,01/20/2021,FALSE
WFCDA,fedassetsforeign,02/03/2021,01/27/2021,01/27/2021,01/20/2021,FALSE
WORAL,fedassetsrepos,02/03/2021,01/27/2021,01/27/2021,01/20/2021,FALSE
MTSDS133FMS,federalbudget,12/01/2020,11/01/2020,12/01/2020,11/01/2020,TRUE
WSHOMCB,fredassetsmbs,02/03/2021,01/27/2021,01/27/2021,01/20/2021,FALSE
TREAST,fredassetstreas,02/03/2021,01/27/2021,01/27/2021,01/20/2021,FALSE
WALCL,fredtotalassets,02/03/2021,01/27/2021,01/27/2021,01/20/2021,FALSE
CPMNACSCAB1GQFR,frgdp,07/01/2020,04/01/2020,07/01/2020,04/01/2020,TRUE
LMUNRLTTFRM647S,frunemploy,11/01/2020,10/01/2020,11/01/2020,10/01/2020,TRUE
CPMNACSCAB1GQDE,germgdp,07/01/2020,04/01/2020,07/01/2020,04/01/2020,TRUE
LMUNRRTTDEM156N,germunemploy,12/01/2020,11/01/2020,12/01/2020,11/01/2020,TRUE
BUNDESBANK/BBK01_WT1010,grmygovtyield10,02/04/2021,02/03/2021,01/28/2021,01/27/2021,FALSE
BUNDESBANK/BBK01_WT3030,grmygovtyield30,02/04/2021,02/03/2021,01/28/2021,01/27/2021,FALSE
HOUST,housingstarts,12/01/2020,11/01/2020,12/01/2020,11/01/2020,TRUE
ML/HYOAS,hyoasdidx,02/04/2021,02/03/2021,01/28/2021,01/27/2021,FALSE
RICI/RICIA,intlagriidx,02/04/2021,02/03/2021,01/28/2021,01/27/2021,FALSE
RICI/RICIE,intlenergyidx,02/04/2021,02/03/2021,01/28/2021,01/27/2021,FALSE
RICI/RICIM,intlmetalsidx,02/04/2021,02/03/2021,01/28/2021,01/27/2021,FALSE
CPMNACSCAB1GQIT,itgdp,07/01/2020,04/01/2020,07/01/2020,04/01/2020,TRUE
LRUN64TTITQ156S,itunemploy,07/01/2020,04/01/2020,07/01/2020,04/01/2020,TRUE
JPNNGDP,jpgdp,07/01/2020,04/01/2020,07/01/2020,04/01/2020,TRUE
MOFJ/INTEREST_RATE_JAPAN,jpngovtyields,02/04/2021,02/03/2021,01/28/2021,01/27/2021,FALSE
JPNASSETS,jptotalassets,01/01/2021,12/01/2020,12/01/2020,11/01/2020,FALSE
LRUNTTTTJPM156N,jpunemploy,11/01/2020,10/01/2020,11/01/2020,10/01/2020,TRUE
M2,m2,01/25/2021,01/18/2021,01/18/2021,01/11/2021,FALSE
ISM/MAN_PMI,manupmi,01/01/2021,12/01/2020,12/01/2020,11/01/2020,FALSE
PERMIT,newbuildingpermits,12/01/2020,11/01/2020,12/01/2020,11/01/2020,TRUE
ISM/NONMAN_NMI,nonmanunmi,01/01/2021,12/01/2020,12/01/2020,11/01/2020,FALSE
OPEC/ORB,opeccrude,02/04/2021,02/03/2021,01/28/2021,01/27/2021,FALSE
CHRIS/CME_SI1,silverfut,02/05/2021,02/04/2021,01/28/2021,01/27/2021,FALSE
CHRIS/CME_S1,soybeanfut,02/05/2021,02/04/2021,01/29/2021,01/28/2021,FALSE
